"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"TC79WZD4","conferencePaper","2018","Daoui, A.; Gherabi, N.; Marzouk, A.","Towards semantic matching between ontology concepts","2018 International Conference on Electronics, Control, Optimization and Computer Science (ICECOCS)","","","10.1109/ICECOCS.2018.8610643","","The similarity calculation has become a research concept strongly recommended in the domains of semantic web, artificial intelligence, knowledge engineering and knowledge management. For this reason, in the current paper, our work will focus on the treatment of this concept (similarity calculation) between the ontology concepts in order to find the rate of semantic similarity between these concepts which are defined in the same hierarchy. This work bases on the A* algorithm for defining the shortest path between two given concepts. This latter, will be used in the process of semantic similarity computing. Finally, we present an experimental comparison between our method and two other.","2018-12","2019-06-15 15:02:57","2019-06-15 17:18:50","","1-5","","","","","","","","","","","","","","","","","","","","","","","","A* algorithm; artificial intelligence; component; Heuristic algorithms; knowledge engineering; knowledge management; ontologies; Ontologies; ontologies (artificial intelligence); ontology concepts; OWL; Resource management; semantic matching; semantic similarity; semantic similarity computing; semantic web; semantic Web; Semantics; similarity measuring","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GTM9XB8K","conferencePaper","2016","Yadav, U.; Narula, G. S.; Duhan, N.; Jain, V.","A novel approach for precise search results retrieval based on semantic web technologies","2016 3rd International Conference on Computing for Sustainable Global Development (INDIACom)","","","","","Web documents are growing exponentially and the results retrieved by traditional search engines are marked by irrelevant and inconsistent results. In order to alleviate this problem and increase degree of relevance, there is need to move towards development of semantic search engines. Such engines produce results by focusing on meaning of context rather than structure of content. The paper describes proposed architecture of semantic search engine that takes web search results as input and refines them with notion of semantics. The output produced would be precise and relevant results in context of user's query.","2016-03","2019-06-15 15:02:58","2019-06-15 16:13:34","","1357-1362","","","","","","","","","","","","","","","","","","","","","","","","Ontologies; semantic Web; Semantics; document handling; Google; information retrieval; Knowledge Retrieval; Ontology; precise search; Resource description framework; search engines; Search engines; semantic search engines; Semantic web and Semantic similarity; semantic Web technologies; user query; Web documents; Web search; XML","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S9YP2R7T","conferencePaper","2015","Archana, A. B.; Kumar, J.","Location based semantic information retrieval from web documents using web crawler","2015 International Conference on Applied and Theoretical Computing and Communication Technology (iCATccT)","","","10.1109/ICATCCT.2015.7456912","","Today's web is a human-readable where information cannot be easily processed by the machine. At the same time, the enormous amount of data has made it increasingly difficult to find, access, present, and maintain relevant information. The present data retrieval techniques are based on the full content coordinating of keywords, which lack the semantic data. In this paper the semantic based information retrieval methodology is proposed to get data from the web archives in a specific domain by gathering the domain relevant information with web crawler. By utilizing ontology and semantic information matched with a given user's query is used for retrieval. The results are discussed for retrieving attractive tourist places in a particular city. Analyses are carried out by comparing results obtained with and without wordnet, with ontology and both ontology and wordnet respectively. The analysis carried out reveals that the proposed system is working efficiently.","2015-10","2019-06-15 15:02:58","2019-06-15 16:19:13","","370-375","","","","","","","","","","","","","","","","","","","","","","","","Ontologies; ontologies (artificial intelligence); semantic Web; Semantics; Ontology; Web documents; Crawlers; data retrieval techniques; Databases; Information retrieval; Location; location-based semantic information retrieval; ontology; query processing; semantic information matched; Semantic web; Uniform resource locators; Web crawler; Web pages; wordnet; Wordnet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TK5SUUUZ","conferencePaper","2017","Zhu, B.; Li, X.; Sancho, J. B.","A novel asymmetric semantic similarity measurement for semantic job matching","2017 International Conference on Security, Pattern Analysis, and Cybernetics (SPAC)","","","10.1109/SPAC.2017.8304267","","Applying semantic similarity techniques in semantic matching applications can help to match information not only lexically but also semantically. In this paper, we extend the conventional semantic similarity measures for retrieving and ranking employment candidates in the case of semantic job matching. A framework for calculating asymmetric conceptual skill similarity is proposed, and validated in a use case of programming job matching. Within this case, a specific skills taxonomy has been formalized in Simple Knowledge Organization System (SKOS). A novel asymmetric semantic similarity measurement based on weighted-path-counting is proposed and validated in the use case. The proposed algorithms are evaluated by comparing them to user ranks, and our experimental results show that the proposed algorithms have better performance in ranking comparing to the conventional algorithms.","2017-12","2019-06-15 15:02:58","2019-06-15 16:13:36","","152-157","","","","","","","","","","","","","","","","","","","","","","","","ontologies (artificial intelligence); semantic Web; Semantics; information retrieval; asymmetric conceptual skill similarity; conventional semantic similarity measures; Information Retrieval; Integrated circuits; Java; Job Matching; Pattern analysis; retrieving ranking employment candidates; Security; semantic job matching; Semantic Matching; semantic matching applications; Semantic Similarity; semantic similarity measurement; semantic similarity techniques; Simple Knowledge Organization System; SKOS; Taxonomy; Weight measurement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5VJMKMEE","conferencePaper","2014","Rana, V.; Singh, G.","An analysis of semantic heterogeneity issues and their countermeasures prevailing in semantic web","2014 International Conference on Reliability Optimization and Information Technology (ICROIT)","","","10.1109/ICROIT.2014.6798296","","Nowadays, wisdom information retrieval system is available on the web, which enables a new generation of intelligent web that utilizes this semantic information as source of knowledge. The vision of semantic web crafts an environment where the information available on the web can be semantically interpreted. However, with abundance of information on the web, it is complicated to interpret the information with their intended meaning. Achieving this by interoperability among different information systems is very laborious, tedious and error-prone task which results out of semantic heterogeneity. Semantic web suggested solution of retrieval of specific information through the use of ontology matching technique and intelligent agent technology. In this paper we have proposed a knowledge-based grid for retrieving valuable information according to users necessitates. This paper also conducts a review of research in the area of intelligent communities and identifies the major theoretical and practical issues which need to be addressed.","2014-02","2019-06-15 15:02:58","2019-06-15 16:15:38","","80-85","","","","","","","","","","","","","","","","","","","","","","","","Ontologies; ontologies (artificial intelligence); semantic Web; Semantics; information retrieval; Databases; intelligent agent; Intelligent Agent; intelligent Web; interoperability; knowledge based systems; knowledge-based grid; ontology matching; Ontology Matching; open systems; semantic heterogeneity; Semantic Heterogeneity; semantic heterogeneity issues; semantic information; Semantic Web; Servers; software agents; wisdom information retrieval system","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q7FU7T7A","conferencePaper","2014","Sharma, S.; Lather, J. S.; Dave, M.","Semantic discovery of web services using statistical methods and measures of semantic relatedness","2014 IEEE International Advance Computing Conference (IACC)","","","10.1109/IAdCC.2014.6779364","","Discovering a service over the web that meets the desired functionalities is still one of the most challenging tasks in the area of Service Oriented Computing. Lack of semantic information in the web services profiles poses a restriction in the automated discovery of services. Irrelevant and huge number of services returned by the UDDI and lack of standard mechanisms are the main problems faced by the users today during service discovery. In this paper, we propose a Web service discovery approach independent of the description model that tries to manage with the heterogeneity found in semantic service description frameworks. This proposed approach uses the principals from text mining, measures of semantic relatedness and information retrieval where the semantic information of the services is integrated with the syntactic service profiles to give hybrid service vectors. Empirical evaluation of the proposed approach implemented on OWL-X services has been presented to show the feasibility of the approach. Experimental results have shown that the proposed approach is able to discover better semantic relationship between services, therefore, more relevant results are ensured during discovery.","2014-02","2019-06-15 15:02:58","2019-06-15 16:43:33","","438-443","","","","","","","","","","","","","","","","","","","","","","","","Ontologies; semantic web; semantic Web; Semantics; information retrieval; Information Retrieval; semantic information; Semantic Web; Automobiles; data mining; description model; hybrid service vectors; knowledge representation languages; Measures of Semantic Relatedness; OWL-S; OWL-X services; semantic discovery; semantic relatedness measures; semantic service description frameworks; Semantic similarity; service oriented computing; statistical analysis; statistical methods; syntactic service profiles; text analysis; text mining; Vectors; Web Service Discovery; Web service discovery approach; Web services","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KEVRBGIA","conferencePaper","2015","Li, M.; Lang, B.; Wang, J.","Compound Concept Semantic Similarity Calculation Based on Ontology and Concept Constitution Features","2015 IEEE 27th International Conference on Tools with Artificial Intelligence (ICTAI)","","","10.1109/ICTAI.2015.44","","The computation of semantic similarity between words is important in information retrieval, knowledge acquisition and many other fields. The existing studies are mainly aiming at single concepts composed of single terms. For the compound concepts composed of multiple terms, they usually neglect the special constitution features of compounds and only process them as single concepts, which may affect the ultimate accuracy. In this paper, we propose a novel ontology-based Compound Concept Semantic Similarity calculation approach called CCSS which exploits concept constitution features. In CCSS, the compound is decomposed into Subject headings and Auxiliary words (SaA), and the relationships between these two sets are used to measure the similarity. Besides, the errors that may be caused by SaA recognition are corrected. Moreover, several information sources of ontology such as taxonomical features, local density and depth are considered. Extensive experimental evaluations demonstrate that our approach significantly outperforms existing approaches.","2015-11","2019-06-15 15:02:59","2019-06-15 16:17:55","","226-233","","","","","","","","","","","","","","","","","","","","","","","","Ontologies; ontologies (artificial intelligence); Semantics; information retrieval; Information retrieval; ontology; Integrated circuits; Semantic similarity; text analysis; Arrays; auxiliary words; CCSS; compound concept; Compounds; concept constitution features; Constitution; constitution feature; information sources; knowledge acquisition; local density; local depth; ontology-based compound concept semantic similarity calculation based; SaA recognition; semantic similarity computation; subject heading; subject headings; taxonomical features","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QWL7W8SA","conferencePaper","2016","Aravazhi, R.; Dayana, M. F.","Semantic searching technique based on ontology","2016 International Conference on Emerging Trends in Engineering, Technology and Science (ICETETS)","","","10.1109/ICETETS.2016.7603123","","Real recuperation of the maximum applicable Records on the subject of attention from the Network is troublesome due to the expansive sum of Data in all sorts of layouts. Concentrates on have been directed on methods to progress the productivity of Data recuperation (IR) schemes. To arrive to appropriate arrangements in IR schemes, machines want extra semantic Data that makes a contrast in accepting Web papers. In this paper, the semantic IR prototypical is examined, arranged to the abuse of field cosmology and WordNet to provision semantic IR capacities in Web documents, pushing on the utilization of ontologies in the semantic-based viewpoint. The scheme; called SPIRS, that employments Semantic Web and specialists to provision more sensitive inquiries and additional exact outcomes is planned. The investigation of the planned Framework is achieved by a test that is based on importance based assessment and Client fulfillment based estimation. The fallouts of the test appears that the proposed scheme, which is based on Semantic Web and agent, can progress the precision and adequacy for recovering applicable Web Records in particular field.","2016-02","2019-06-15 15:02:59","2019-06-15 16:43:47","","1-6","","","","","","","","","","","","","","","","","","","","","","","","ontologies; Ontologies; ontologies (artificial intelligence); semantic Web; Semantics; information retrieval; Ontology; Web documents; Crawlers; Semantic Web; Customized Retrieval; Estimation; Indexing; information recuperation; Productivity; Semantic Data Retrieval; semantic IR; semantic searching technique; SPIRS; WordNet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MS9FM3TI","conferencePaper","2016","Suguna, S.; Sundaravadivelu, V.; Gomathi, B.","A novel semantic approach in E-learning information retrieval system","2016 IEEE International Conference on Engineering and Technology (ICETECH)","","","10.1109/ICETECH.2016.7569374","","Nowadays growing number of popularization in the World Wide Web promotes e-learning via web. During e-learning the users can easily share, reuse, and organize the knowledge. Using the search engine the e-learners search the web pages by set of keywords. But the pages which are unrelated for our tags come frequently are the major problem nowadays. There is always a semantic gab between searching the web pages and its representation. Ontology Based Text Mining (OBTM) with the help of human concept makes the search meaningfully and gives the relevance site first. Here e-learning with the help of several OBTM techniques such as Concept Weight Based Ontology (CWBO), NLP Based Text Mining (NBTM), Based on Data Quality (BDQ), Personalization (P), Question Answering System (QAS) and Rule Based Recommender System (RR) are analyzed. In this paper we proposed the ontology based information retrieval system using web ontology languages and analyzed the importance of handling concepts using tools Wordnet or Hownet. Here ontology is created after the preprocessing process with e-learning documents such as stop word removal, stemming, and whitespace removal and so on. We proved that the proposed ontology based NBTM information retrieval technique is efficient and effective in terms of precision and recall parameters.","2016-03","2019-06-15 15:02:59","2019-06-15 16:13:37","","884-889","","","","","","","","","","","","","","","","","","","","","","","","Ontologies; ontologies (artificial intelligence); OWL; semantic Web; Semantics; information retrieval; search engines; Information retrieval; Web pages; Wordnet; Information Retrieval; Semantic Web; data mining; knowledge representation languages; text analysis; distance learning; e-learning; e-learning documents; Electronic learning; Hownet; NBTM information retrieval; OBTM; ontology-based information retrieval system; ontology-based text mining; search engine; Text mining; Web ontology languages; World Wide Web","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D6YYPRWE","journalArticle","2017","Zhu, G.; Iglesias, C. A.","Computing Semantic Similarity of Concepts in Knowledge Graphs","IEEE Transactions on Knowledge and Data Engineering","","1041-4347","10.1109/TKDE.2016.2610428","","This paper presents a method for measuring the semantic similarity between concepts in Knowledge Graphs (KGs) such as WordNet and DBpedia. Previous work on semantic similarity methods have focused on either the structure of the semantic network between concepts (e.g., path length and depth), or only on the Information Content (IC) of concepts. We propose a semantic similarity method, namely wpath, to combine these two approaches, using IC to weight the shortest path length between concepts. Conventional corpus-based IC is computed from the distributions of concepts over textual corpus, which is required to prepare a domain corpus containing annotated concepts and has high computational cost. As instances are already extracted from textual corpus and annotated by concepts in KGs, graph-based IC is proposed to compute IC based on the distributions of concepts over instances. Through experiments performed on well known word similarity datasets, we show that the wpath semantic similarity method has produced a statistically significant improvement over other semantic similarity methods. Moreover, in a real category classification evaluation, the wpath method has shown the best performance in terms of accuracy and F score.","2017-01","2019-06-15 15:02:59","2019-06-15 16:17:56","","72-85","","1","29","","","","","","","","","","","","","","","","","","","","","semantic Web; Semantics; Integrated circuits; Taxonomy; knowledge based systems; Semantic similarity; WordNet; annotated concepts; computational cost; concept computing semantic similarity; concept distribution; concept IC; concept information content; corpus-based IC; DBpedia; graph theory; graph-based IC; information content; information networks; KG; Knowledge based systems; Knowledge engineering; knowledge graph; knowledge graphs; Measurement; Motion pictures; semantic network; semantic networks; semantic relatedness; textual corpus; word similarity datasets; wpath semantic similarity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
